stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	diffp3	uttDurOrig	uttDurMin	uttDurNew
1	lilli_manu_03	lilli_manu_03_pause_0.005	0.53	0.005	0.0094	0.005	0.525	1.6441	1.1141	1.1191
2	lilli_manu_03	lilli_manu_03_pause_0.010	0.53	0.005	0.0095	0.01	0.52	1.6441	1.1141	1.1241
3	lilli_manu_03	lilli_manu_03_pause_0.015	0.53	0.005	0.0096	0.015	0.515	1.6441	1.1141	1.1291
4	lilli_manu_03	lilli_manu_03_pause_0.020	0.53	0.005	0.0097	0.02	0.51	1.6441	1.1141	1.1341
5	lilli_manu_03	lilli_manu_03_pause_0.025	0.53	0.005	0.0098	0.025	0.505	1.6441	1.1141	1.1391
6	lilli_manu_03	lilli_manu_03_pause_0.030	0.53	0.005	0.0099	0.03	0.5	1.6441	1.1141	1.1441
7	lilli_manu_03	lilli_manu_03_pause_0.035	0.53	0.005	0.01	0.035	0.495	1.6441	1.1141	1.1491
8	lilli_manu_03	lilli_manu_03_pause_0.040	0.53	0.005	0.0101	0.04	0.49	1.6441	1.1141	1.1541
9	lilli_manu_03	lilli_manu_03_pause_0.045	0.53	0.005	0.0102	0.045	0.485	1.6441	1.1141	1.1591
10	lilli_manu_03	lilli_manu_03_pause_0.050	0.53	0.005	0.0103	0.05	0.48	1.6441	1.1141	1.1641
11	lilli_manu_03	lilli_manu_03_pause_0.055	0.53	0.005	0.0104	0.055	0.475	1.6441	1.1141	1.1691
12	lilli_manu_03	lilli_manu_03_pause_0.060	0.53	0.005	0.0105	0.06	0.47	1.6441	1.1141	1.1741
13	lilli_manu_03	lilli_manu_03_pause_0.065	0.53	0.005	0.0106	0.065	0.465	1.6441	1.1141	1.1791
14	lilli_manu_03	lilli_manu_03_pause_0.070	0.53	0.005	0.0108	0.07	0.46	1.6441	1.1141	1.1841
15	lilli_manu_03	lilli_manu_03_pause_0.075	0.53	0.005	0.0109	0.075	0.455	1.6441	1.1141	1.1891
16	lilli_manu_03	lilli_manu_03_pause_0.080	0.53	0.005	0.011	0.08	0.45	1.6441	1.1141	1.1941
17	lilli_manu_03	lilli_manu_03_pause_0.085	0.53	0.005	0.0111	0.085	0.445	1.6441	1.1141	1.1991
18	lilli_manu_03	lilli_manu_03_pause_0.090	0.53	0.005	0.0112	0.09	0.44	1.6441	1.1141	1.2041
19	lilli_manu_03	lilli_manu_03_pause_0.095	0.53	0.005	0.0114	0.095	0.435	1.6441	1.1141	1.2091
20	lilli_manu_03	lilli_manu_03_pause_0.100	0.53	0.005	0.0115	0.1	0.43	1.6441	1.1141	1.2141
21	lilli_manu_03	lilli_manu_03_pause_0.105	0.53	0.005	0.0116	0.105	0.425	1.6441	1.1141	1.2191
22	lilli_manu_03	lilli_manu_03_pause_0.110	0.53	0.005	0.0118	0.11	0.42	1.6441	1.1141	1.2241
23	lilli_manu_03	lilli_manu_03_pause_0.115	0.53	0.005	0.0119	0.115	0.415	1.6441	1.1141	1.2291
24	lilli_manu_03	lilli_manu_03_pause_0.120	0.53	0.005	0.012	0.12	0.41	1.6441	1.1141	1.2341
25	lilli_manu_03	lilli_manu_03_pause_0.125	0.53	0.005	0.0122	0.125	0.405	1.6441	1.1141	1.2391
26	lilli_manu_03	lilli_manu_03_pause_0.130	0.53	0.005	0.0123	0.13	0.4	1.6441	1.1141	1.2441
27	lilli_manu_03	lilli_manu_03_pause_0.135	0.53	0.005	0.0125	0.135	0.395	1.6441	1.1141	1.2491
28	lilli_manu_03	lilli_manu_03_pause_0.140	0.53	0.005	0.0127	0.14	0.39	1.6441	1.1141	1.2541
29	lilli_manu_03	lilli_manu_03_pause_0.145	0.53	0.005	0.0128	0.145	0.385	1.6441	1.1141	1.2591
30	lilli_manu_03	lilli_manu_03_pause_0.150	0.53	0.005	0.013	0.15	0.38	1.6441	1.1141	1.2641
31	lilli_manu_03	lilli_manu_03_pause_0.155	0.53	0.005	0.0132	0.155	0.375	1.6441	1.1141	1.2691
32	lilli_manu_03	lilli_manu_03_pause_0.160	0.53	0.005	0.0133	0.16	0.37	1.6441	1.1141	1.2741
33	lilli_manu_03	lilli_manu_03_pause_0.165	0.53	0.005	0.0135	0.165	0.365	1.6441	1.1141	1.2791
34	lilli_manu_03	lilli_manu_03_pause_0.170	0.53	0.005	0.0137	0.17	0.36	1.6441	1.1141	1.2841
35	lilli_manu_03	lilli_manu_03_pause_0.175	0.53	0.005	0.0139	0.175	0.355	1.6441	1.1141	1.2891
36	lilli_manu_03	lilli_manu_03_pause_0.180	0.53	0.005	0.0141	0.18	0.35	1.6441	1.1141	1.2941
37	lilli_manu_03	lilli_manu_03_pause_0.185	0.53	0.005	0.0143	0.185	0.345	1.6441	1.1141	1.2991
38	lilli_manu_03	lilli_manu_03_pause_0.190	0.53	0.005	0.0145	0.19	0.34	1.6441	1.1141	1.3041
39	lilli_manu_03	lilli_manu_03_pause_0.195	0.53	0.005	0.0147	0.195	0.335	1.6441	1.1141	1.3091
40	lilli_manu_03	lilli_manu_03_pause_0.200	0.53	0.005	0.0149	0.2	0.33	1.6441	1.1141	1.3141
41	lilli_manu_03	lilli_manu_03_pause_0.205	0.53	0.005	0.0152	0.205	0.325	1.6441	1.1141	1.3191
42	lilli_manu_03	lilli_manu_03_pause_0.210	0.53	0.005	0.0154	0.21	0.32	1.6441	1.1141	1.3241
43	lilli_manu_03	lilli_manu_03_pause_0.215	0.53	0.005	0.0156	0.215	0.315	1.6441	1.1141	1.3291
44	lilli_manu_03	lilli_manu_03_pause_0.220	0.53	0.005	0.0159	0.22	0.31	1.6441	1.1141	1.3341
45	lilli_manu_03	lilli_manu_03_pause_0.225	0.53	0.005	0.0161	0.225	0.305	1.6441	1.1141	1.3391
46	lilli_manu_03	lilli_manu_03_pause_0.230	0.53	0.005	0.0164	0.23	0.3	1.6441	1.1141	1.3441
47	lilli_manu_03	lilli_manu_03_pause_0.235	0.53	0.005	0.0167	0.235	0.295	1.6441	1.1141	1.3491
48	lilli_manu_03	lilli_manu_03_pause_0.240	0.53	0.005	0.0169	0.24	0.29	1.6441	1.1141	1.3541
49	lilli_manu_03	lilli_manu_03_pause_0.245	0.53	0.005	0.0172	0.245	0.285	1.6441	1.1141	1.3591
50	lilli_manu_03	lilli_manu_03_pause_0.250	0.53	0.005	0.0175	0.25	0.28	1.6441	1.1141	1.3641
51	lilli_manu_03	lilli_manu_03_pause_0.255	0.53	0.005	0.0179	0.255	0.275	1.6441	1.1141	1.3691
52	lilli_manu_03	lilli_manu_03_pause_0.260	0.53	0.005	0.0182	0.26	0.27	1.6441	1.1141	1.3741
53	lilli_manu_03	lilli_manu_03_pause_0.265	0.53	0.005	0.0185	0.265	0.265	1.6441	1.1141	1.3791
54	lilli_manu_03	lilli_manu_03_pause_0.270	0.53	0.005	0.0189	0.27	0.26	1.6441	1.1141	1.3841
55	lilli_manu_03	lilli_manu_03_pause_0.275	0.53	0.005	0.0192	0.275	0.255	1.6441	1.1141	1.3891
56	lilli_manu_03	lilli_manu_03_pause_0.280	0.53	0.005	0.0196	0.28	0.25	1.6441	1.1141	1.3941
57	lilli_manu_03	lilli_manu_03_pause_0.285	0.53	0.005	0.02	0.285	0.245	1.6441	1.1141	1.3991
58	lilli_manu_03	lilli_manu_03_pause_0.290	0.53	0.005	0.0204	0.29	0.24	1.6441	1.1141	1.4041
59	lilli_manu_03	lilli_manu_03_pause_0.295	0.53	0.005	0.0208	0.295	0.235	1.6441	1.1141	1.4091
60	lilli_manu_03	lilli_manu_03_pause_0.300	0.53	0.005	0.0213	0.3	0.23	1.6441	1.1141	1.4141
61	lilli_manu_03	lilli_manu_03_pause_0.305	0.53	0.005	0.0217	0.305	0.225	1.6441	1.1141	1.4191
62	lilli_manu_03	lilli_manu_03_pause_0.310	0.53	0.005	0.0222	0.31	0.22	1.6441	1.1141	1.4241
63	lilli_manu_03	lilli_manu_03_pause_0.315	0.53	0.005	0.0227	0.315	0.215	1.6441	1.1141	1.4291
64	lilli_manu_03	lilli_manu_03_pause_0.320	0.53	0.005	0.0233	0.32	0.21	1.6441	1.1141	1.4341
65	lilli_manu_03	lilli_manu_03_pause_0.325	0.53	0.005	0.0238	0.325	0.205	1.6441	1.1141	1.4391
66	lilli_manu_03	lilli_manu_03_pause_0.330	0.53	0.005	0.0244	0.33	0.2	1.6441	1.1141	1.4441
67	lilli_manu_03	lilli_manu_03_pause_0.335	0.53	0.005	0.025	0.335	0.195	1.6441	1.1141	1.4491
68	lilli_manu_03	lilli_manu_03_pause_0.340	0.53	0.005	0.0256	0.34	0.19	1.6441	1.1141	1.4541
69	lilli_manu_03	lilli_manu_03_pause_0.345	0.53	0.005	0.0263	0.345	0.185	1.6441	1.1141	1.4591
70	lilli_manu_03	lilli_manu_03_pause_0.350	0.53	0.005	0.027	0.35	0.18	1.6441	1.1141	1.4641
71	lilli_manu_03	lilli_manu_03_pause_0.355	0.53	0.005	0.0278	0.355	0.175	1.6441	1.1141	1.4691
72	lilli_manu_03	lilli_manu_03_pause_0.360	0.53	0.005	0.0286	0.36	0.17	1.6441	1.1141	1.4741
73	lilli_manu_03	lilli_manu_03_pause_0.365	0.53	0.005	0.0294	0.365	0.165	1.6441	1.1141	1.4791
74	lilli_manu_03	lilli_manu_03_pause_0.370	0.53	0.005	0.0303	0.37	0.16	1.6441	1.1141	1.4841
75	lilli_manu_03	lilli_manu_03_pause_0.375	0.53	0.005	0.0312	0.375	0.155	1.6441	1.1141	1.4891
76	lilli_manu_03	lilli_manu_03_pause_0.380	0.53	0.005	0.0323	0.38	0.15	1.6441	1.1141	1.4941
77	lilli_manu_03	lilli_manu_03_pause_0.385	0.53	0.005	0.0333	0.385	0.145	1.6441	1.1141	1.4991
78	lilli_manu_03	lilli_manu_03_pause_0.390	0.53	0.005	0.0345	0.39	0.14	1.6441	1.1141	1.5041
79	lilli_manu_03	lilli_manu_03_pause_0.395	0.53	0.005	0.0357	0.395	0.135	1.6441	1.1141	1.5091
80	lilli_manu_03	lilli_manu_03_pause_0.400	0.53	0.005	0.037	0.4	0.13	1.6441	1.1141	1.5141
81	lilli_manu_03	lilli_manu_03_pause_0.405	0.53	0.005	0.0385	0.405	0.125	1.6441	1.1141	1.5191
82	lilli_manu_03	lilli_manu_03_pause_0.410	0.53	0.005	0.04	0.41	0.12	1.6441	1.1141	1.5241
83	lilli_manu_03	lilli_manu_03_pause_0.415	0.53	0.005	0.0417	0.415	0.115	1.6441	1.1141	1.5291
84	lilli_manu_03	lilli_manu_03_pause_0.420	0.53	0.005	0.0435	0.42	0.11	1.6441	1.1141	1.5341
85	lilli_manu_03	lilli_manu_03_pause_0.425	0.53	0.005	0.0455	0.425	0.105	1.6441	1.1141	1.5391
86	lilli_manu_03	lilli_manu_03_pause_0.430	0.53	0.005	0.0476	0.43	0.1	1.6441	1.1141	1.5441
87	lilli_manu_03	lilli_manu_03_pause_0.435	0.53	0.005	0.05	0.435	0.095	1.6441	1.1141	1.5491
88	lilli_manu_03	lilli_manu_03_pause_0.440	0.53	0.005	0.0526	0.44	0.09	1.6441	1.1141	1.5541
89	lilli_manu_03	lilli_manu_03_pause_0.445	0.53	0.005	0.0556	0.445	0.085	1.6441	1.1141	1.5591
90	lilli_manu_03	lilli_manu_03_pause_0.450	0.53	0.005	0.0588	0.45	0.08	1.6441	1.1141	1.5641
91	lilli_manu_03	lilli_manu_03_pause_0.455	0.53	0.005	0.0625	0.455	0.075	1.6441	1.1141	1.5691
92	lilli_manu_03	lilli_manu_03_pause_0.460	0.53	0.005	0.0667	0.46	0.07	1.6441	1.1141	1.5741
93	lilli_manu_03	lilli_manu_03_pause_0.465	0.53	0.005	0.0714	0.465	0.065	1.6441	1.1141	1.5791
94	lilli_manu_03	lilli_manu_03_pause_0.470	0.53	0.005	0.0769	0.47	0.06	1.6441	1.1141	1.5841
95	lilli_manu_03	lilli_manu_03_pause_0.475	0.53	0.005	0.0833	0.475	0.055	1.6441	1.1141	1.5891
96	lilli_manu_03	lilli_manu_03_pause_0.480	0.53	0.005	0.0909	0.48	0.05	1.6441	1.1141	1.5941
97	lilli_manu_03	lilli_manu_03_pause_0.485	0.53	0.005	0.1	0.485	0.045	1.6441	1.1141	1.5991
98	lilli_manu_03	lilli_manu_03_pause_0.490	0.53	0.005	0.1111	0.49	0.04	1.6441	1.1141	1.6041
99	lilli_manu_03	lilli_manu_03_pause_0.495	0.53	0.005	0.125	0.495	0.035	1.6441	1.1141	1.6091
100	lilli_manu_03	lilli_manu_03_pause_0.500	0.53	0.005	0.1429	0.5	0.03	1.6441	1.1141	1.6141
101	lilli_manu_03	lilli_manu_03_pause_0.505	0.53	0.005	0.1667	0.505	0.025	1.6441	1.1141	1.6191
102	lilli_manu_03	lilli_manu_03_pause_0.510	0.53	0.005	0.2	0.51	0.02	1.6441	1.1141	1.6241
103	lilli_manu_03	lilli_manu_03_pause_0.515	0.53	0.005	0.25	0.515	0.015	1.6441	1.1141	1.6291
104	lilli_manu_03	lilli_manu_03_pause_0.520	0.53	0.005	0.3333	0.52	0.01	1.6441	1.1141	1.6341
105	lilli_manu_03	lilli_manu_03_pause_0.525	0.53	0.005	0.5	0.525	0.005	1.6441	1.1141	1.6391
106	lilli_manu_03	lilli_manu_03_pause_0.530	0.53	0.005	1	0.53	9e-006	1.6441	1.1141	1.6441
