stepID	filename	nameNew	riseOrig	l2Orig	h2Orig	riseNew	h2New	diffRise	n2Dur
167	manni_03	manni_03_rise_16_7	16.6741	150.5559	394.4395	16.6741	394.4395	0	0.4354
167	manni_03	manni_03_rise_16_6	16.6741	150.5559	394.4395	16.5741	392.1677	0.1	0.4354
167	manni_03	manni_03_rise_16_5	16.6741	150.5559	394.4395	16.4741	389.909	0.2	0.4354
167	manni_03	manni_03_rise_16_4	16.6741	150.5559	394.4395	16.3741	387.6633	0.3	0.4354
167	manni_03	manni_03_rise_16_3	16.6741	150.5559	394.4395	16.2741	385.4305	0.4	0.4354
167	manni_03	manni_03_rise_16_2	16.6741	150.5559	394.4395	16.1741	383.2106	0.5	0.4354
167	manni_03	manni_03_rise_16_1	16.6741	150.5559	394.4395	16.0741	381.0034	0.6	0.4354
167	manni_03	manni_03_rise_16_0	16.6741	150.5559	394.4395	15.9741	378.809	0.7	0.4354
167	manni_03	manni_03_rise_15_9	16.6741	150.5559	394.4395	15.8741	376.6272	0.8	0.4354
167	manni_03	manni_03_rise_15_8	16.6741	150.5559	394.4395	15.7741	374.458	0.9	0.4354
167	manni_03	manni_03_rise_15_7	16.6741	150.5559	394.4395	15.6741	372.3013	1	0.4354
167	manni_03	manni_03_rise_15_6	16.6741	150.5559	394.4395	15.5741	370.157	1.1	0.4354
167	manni_03	manni_03_rise_15_5	16.6741	150.5559	394.4395	15.4741	368.0251	1.2	0.4354
167	manni_03	manni_03_rise_15_4	16.6741	150.5559	394.4395	15.3741	365.9054	1.3	0.4354
167	manni_03	manni_03_rise_15_3	16.6741	150.5559	394.4395	15.2741	363.7979	1.4	0.4354
167	manni_03	manni_03_rise_15_2	16.6741	150.5559	394.4395	15.1741	361.7026	1.5	0.4354
167	manni_03	manni_03_rise_15_1	16.6741	150.5559	394.4395	15.0741	359.6194	1.6	0.4354
167	manni_03	manni_03_rise_15_0	16.6741	150.5559	394.4395	14.9741	357.5481	1.7	0.4354
167	manni_03	manni_03_rise_14_9	16.6741	150.5559	394.4395	14.8741	355.4888	1.8	0.4354
167	manni_03	manni_03_rise_14_8	16.6741	150.5559	394.4395	14.7741	353.4413	1.9	0.4354
167	manni_03	manni_03_rise_14_7	16.6741	150.5559	394.4395	14.6741	351.4056	2	0.4354
167	manni_03	manni_03_rise_14_6	16.6741	150.5559	394.4395	14.5741	349.3817	2.1	0.4354
167	manni_03	manni_03_rise_14_5	16.6741	150.5559	394.4395	14.4741	347.3694	2.2	0.4354
167	manni_03	manni_03_rise_14_4	16.6741	150.5559	394.4395	14.3741	345.3687	2.3	0.4354
167	manni_03	manni_03_rise_14_3	16.6741	150.5559	394.4395	14.2741	343.3795	2.4	0.4354
167	manni_03	manni_03_rise_14_2	16.6741	150.5559	394.4395	14.1741	341.4018	2.5	0.4354
167	manni_03	manni_03_rise_14_1	16.6741	150.5559	394.4395	14.0741	339.4355	2.6	0.4354
167	manni_03	manni_03_rise_14_0	16.6741	150.5559	394.4395	13.9741	337.4805	2.7	0.4354
167	manni_03	manni_03_rise_13_9	16.6741	150.5559	394.4395	13.8741	335.5367	2.8	0.4354
167	manni_03	manni_03_rise_13_8	16.6741	150.5559	394.4395	13.7741	333.6042	2.9	0.4354
167	manni_03	manni_03_rise_13_7	16.6741	150.5559	394.4395	13.6741	331.6828	3	0.4354
167	manni_03	manni_03_rise_13_6	16.6741	150.5559	394.4395	13.5741	329.7724	3.1	0.4354
167	manni_03	manni_03_rise_13_5	16.6741	150.5559	394.4395	13.4741	327.8731	3.2	0.4354
167	manni_03	manni_03_rise_13_4	16.6741	150.5559	394.4395	13.3741	325.9847	3.3	0.4354
167	manni_03	manni_03_rise_13_3	16.6741	150.5559	394.4395	13.2741	324.1071	3.4	0.4354
167	manni_03	manni_03_rise_13_2	16.6741	150.5559	394.4395	13.1741	322.2404	3.5	0.4354
167	manni_03	manni_03_rise_13_1	16.6741	150.5559	394.4395	13.0741	320.3844	3.6	0.4354
167	manni_03	manni_03_rise_13_0	16.6741	150.5559	394.4395	12.9741	318.5392	3.7	0.4354
167	manni_03	manni_03_rise_12_9	16.6741	150.5559	394.4395	12.8741	316.7045	3.8	0.4354
167	manni_03	manni_03_rise_12_8	16.6741	150.5559	394.4395	12.7741	314.8804	3.9	0.4354
167	manni_03	manni_03_rise_12_7	16.6741	150.5559	394.4395	12.6741	313.0668	4	0.4354
167	manni_03	manni_03_rise_12_6	16.6741	150.5559	394.4395	12.5741	311.2637	4.1	0.4354
167	manni_03	manni_03_rise_12_5	16.6741	150.5559	394.4395	12.4741	309.471	4.2	0.4354
167	manni_03	manni_03_rise_12_4	16.6741	150.5559	394.4395	12.3741	307.6885	4.3	0.4354
167	manni_03	manni_03_rise_12_3	16.6741	150.5559	394.4395	12.2741	305.9164	4.4	0.4354
167	manni_03	manni_03_rise_12_2	16.6741	150.5559	394.4395	12.1741	304.1544	4.5	0.4354
167	manni_03	manni_03_rise_12_1	16.6741	150.5559	394.4395	12.0741	302.4026	4.6	0.4354
167	manni_03	manni_03_rise_12_0	16.6741	150.5559	394.4395	11.9741	300.6609	4.7	0.4354
167	manni_03	manni_03_rise_11_9	16.6741	150.5559	394.4395	11.8741	298.9292	4.8	0.4354
167	manni_03	manni_03_rise_11_8	16.6741	150.5559	394.4395	11.7741	297.2075	4.9	0.4354
167	manni_03	manni_03_rise_11_7	16.6741	150.5559	394.4395	11.6741	295.4958	5	0.4354
167	manni_03	manni_03_rise_11_6	16.6741	150.5559	394.4395	11.5741	293.7938	5.1	0.4354
167	manni_03	manni_03_rise_11_5	16.6741	150.5559	394.4395	11.4741	292.1017	5.2	0.4354
167	manni_03	manni_03_rise_11_4	16.6741	150.5559	394.4395	11.3741	290.4193	5.3	0.4354
167	manni_03	manni_03_rise_11_3	16.6741	150.5559	394.4395	11.2741	288.7466	5.4	0.4354
167	manni_03	manni_03_rise_11_2	16.6741	150.5559	394.4395	11.1741	287.0836	5.5	0.4354
167	manni_03	manni_03_rise_11_1	16.6741	150.5559	394.4395	11.0741	285.4301	5.6	0.4354
167	manni_03	manni_03_rise_11_0	16.6741	150.5559	394.4395	10.9741	283.7861	5.7	0.4354
167	manni_03	manni_03_rise_10_9	16.6741	150.5559	394.4395	10.8741	282.1516	5.8	0.4354
167	manni_03	manni_03_rise_10_8	16.6741	150.5559	394.4395	10.7741	280.5266	5.9	0.4354
167	manni_03	manni_03_rise_10_7	16.6741	150.5559	394.4395	10.6741	278.9108	6	0.4354
167	manni_03	manni_03_rise_10_6	16.6741	150.5559	394.4395	10.5741	277.3044	6.1	0.4354
167	manni_03	manni_03_rise_10_5	16.6741	150.5559	394.4395	10.4741	275.7073	6.2	0.4354
167	manni_03	manni_03_rise_10_4	16.6741	150.5559	394.4395	10.3741	274.1193	6.3	0.4354
167	manni_03	manni_03_rise_10_3	16.6741	150.5559	394.4395	10.2741	272.5405	6.4	0.4354
167	manni_03	manni_03_rise_10_2	16.6741	150.5559	394.4395	10.1741	270.9708	6.5	0.4354
167	manni_03	manni_03_rise_10_1	16.6741	150.5559	394.4395	10.0741	269.4101	6.6	0.4354
167	manni_03	manni_03_rise_10_0	16.6741	150.5559	394.4395	9.9741	267.8584	6.7	0.4354
167	manni_03	manni_03_rise_9_9	16.6741	150.5559	394.4395	9.8741	266.3157	6.8	0.4354
167	manni_03	manni_03_rise_9_8	16.6741	150.5559	394.4395	9.7741	264.7818	6.9	0.4354
167	manni_03	manni_03_rise_9_7	16.6741	150.5559	394.4395	9.6741	263.2568	7	0.4354
167	manni_03	manni_03_rise_9_6	16.6741	150.5559	394.4395	9.5741	261.7405	7.1	0.4354
167	manni_03	manni_03_rise_9_5	16.6741	150.5559	394.4395	9.4741	260.233	7.2	0.4354
167	manni_03	manni_03_rise_9_4	16.6741	150.5559	394.4395	9.3741	258.7342	7.3	0.4354
167	manni_03	manni_03_rise_9_3	16.6741	150.5559	394.4395	9.2741	257.244	7.4	0.4354
167	manni_03	manni_03_rise_9_2	16.6741	150.5559	394.4395	9.1741	255.7624	7.5	0.4354
167	manni_03	manni_03_rise_9_1	16.6741	150.5559	394.4395	9.0741	254.2893	7.6	0.4354
167	manni_03	manni_03_rise_9_0	16.6741	150.5559	394.4395	8.9741	252.8247	7.7	0.4354
167	manni_03	manni_03_rise_8_9	16.6741	150.5559	394.4395	8.8741	251.3685	7.8	0.4354
167	manni_03	manni_03_rise_8_8	16.6741	150.5559	394.4395	8.7741	249.9208	7.9	0.4354
167	manni_03	manni_03_rise_8_7	16.6741	150.5559	394.4395	8.6741	248.4813	8	0.4354
167	manni_03	manni_03_rise_8_6	16.6741	150.5559	394.4395	8.5741	247.0502	8.1	0.4354
167	manni_03	manni_03_rise_8_5	16.6741	150.5559	394.4395	8.4741	245.6273	8.2	0.4354
167	manni_03	manni_03_rise_8_4	16.6741	150.5559	394.4395	8.3741	244.2126	8.3	0.4354
167	manni_03	manni_03_rise_8_3	16.6741	150.5559	394.4395	8.2741	242.806	8.4	0.4354
167	manni_03	manni_03_rise_8_2	16.6741	150.5559	394.4395	8.1741	241.4075	8.5	0.4354
167	manni_03	manni_03_rise_8_1	16.6741	150.5559	394.4395	8.0741	240.0171	8.6	0.4354
167	manni_03	manni_03_rise_8_0	16.6741	150.5559	394.4395	7.9741	238.6347	8.7	0.4354
167	manni_03	manni_03_rise_7_9	16.6741	150.5559	394.4395	7.8741	237.2603	8.8	0.4354
167	manni_03	manni_03_rise_7_8	16.6741	150.5559	394.4395	7.7741	235.8938	8.9	0.4354
167	manni_03	manni_03_rise_7_7	16.6741	150.5559	394.4395	7.6741	234.5351	9	0.4354
167	manni_03	manni_03_rise_7_6	16.6741	150.5559	394.4395	7.5741	233.1843	9.1	0.4354
167	manni_03	manni_03_rise_7_5	16.6741	150.5559	394.4395	7.4741	231.8413	9.2	0.4354
167	manni_03	manni_03_rise_7_4	16.6741	150.5559	394.4395	7.3741	230.506	9.3	0.4354
167	manni_03	manni_03_rise_7_3	16.6741	150.5559	394.4395	7.2741	229.1783	9.4	0.4354
167	manni_03	manni_03_rise_7_2	16.6741	150.5559	394.4395	7.1741	227.8584	9.5	0.4354
167	manni_03	manni_03_rise_7_1	16.6741	150.5559	394.4395	7.0741	226.546	9.6	0.4354
167	manni_03	manni_03_rise_7_0	16.6741	150.5559	394.4395	6.9741	225.2412	9.7	0.4354
167	manni_03	manni_03_rise_6_9	16.6741	150.5559	394.4395	6.8741	223.9439	9.8	0.4354
167	manni_03	manni_03_rise_6_8	16.6741	150.5559	394.4395	6.7741	222.6541	9.9	0.4354
167	manni_03	manni_03_rise_6_7	16.6741	150.5559	394.4395	6.6741	221.3717	10	0.4354
167	manni_03	manni_03_rise_6_6	16.6741	150.5559	394.4395	6.5741	220.0967	10.1	0.4354
167	manni_03	manni_03_rise_6_5	16.6741	150.5559	394.4395	6.4741	218.829	10.2	0.4354
167	manni_03	manni_03_rise_6_4	16.6741	150.5559	394.4395	6.3741	217.5687	10.3	0.4354
167	manni_03	manni_03_rise_6_3	16.6741	150.5559	394.4395	6.2741	216.3156	10.4	0.4354
167	manni_03	manni_03_rise_6_2	16.6741	150.5559	394.4395	6.1741	215.0697	10.5	0.4354
167	manni_03	manni_03_rise_6_1	16.6741	150.5559	394.4395	6.0741	213.831	10.6	0.4354
167	manni_03	manni_03_rise_6_0	16.6741	150.5559	394.4395	5.9741	212.5994	10.7	0.4354
167	manni_03	manni_03_rise_5_9	16.6741	150.5559	394.4395	5.8741	211.3749	10.8	0.4354
167	manni_03	manni_03_rise_5_8	16.6741	150.5559	394.4395	5.7741	210.1575	10.9	0.4354
167	manni_03	manni_03_rise_5_7	16.6741	150.5559	394.4395	5.6741	208.947	11	0.4354
167	manni_03	manni_03_rise_5_6	16.6741	150.5559	394.4395	5.5741	207.7436	11.1	0.4354
167	manni_03	manni_03_rise_5_5	16.6741	150.5559	394.4395	5.4741	206.5471	11.2	0.4354
167	manni_03	manni_03_rise_5_4	16.6741	150.5559	394.4395	5.3741	205.3575	11.3	0.4354
167	manni_03	manni_03_rise_5_3	16.6741	150.5559	394.4395	5.2741	204.1747	11.4	0.4354
167	manni_03	manni_03_rise_5_2	16.6741	150.5559	394.4395	5.1741	202.9987	11.5	0.4354
167	manni_03	manni_03_rise_5_1	16.6741	150.5559	394.4395	5.0741	201.8295	11.6	0.4354
167	manni_03	manni_03_rise_5_0	16.6741	150.5559	394.4395	4.9741	200.6671	11.7	0.4354
167	manni_03	manni_03_rise_4_9	16.6741	150.5559	394.4395	4.8741	199.5113	11.8	0.4354
167	manni_03	manni_03_rise_4_8	16.6741	150.5559	394.4395	4.7741	198.3622	11.9	0.4354
167	manni_03	manni_03_rise_4_7	16.6741	150.5559	394.4395	4.6741	197.2198	12	0.4354
167	manni_03	manni_03_rise_4_6	16.6741	150.5559	394.4395	4.5741	196.0839	12.1	0.4354
167	manni_03	manni_03_rise_4_5	16.6741	150.5559	394.4395	4.4741	194.9545	12.2	0.4354
167	manni_03	manni_03_rise_4_4	16.6741	150.5559	394.4395	4.3741	193.8316	12.3	0.4354
167	manni_03	manni_03_rise_4_3	16.6741	150.5559	394.4395	4.2741	192.7152	12.4	0.4354
167	manni_03	manni_03_rise_4_2	16.6741	150.5559	394.4395	4.1741	191.6053	12.5	0.4354
167	manni_03	manni_03_rise_4_1	16.6741	150.5559	394.4395	4.0741	190.5017	12.6	0.4354
167	manni_03	manni_03_rise_4_0	16.6741	150.5559	394.4395	3.9741	189.4045	12.7	0.4354
167	manni_03	manni_03_rise_3_9	16.6741	150.5559	394.4395	3.8741	188.3136	12.8	0.4354
167	manni_03	manni_03_rise_3_8	16.6741	150.5559	394.4395	3.7741	187.229	12.9	0.4354
167	manni_03	manni_03_rise_3_7	16.6741	150.5559	394.4395	3.6741	186.1507	13	0.4354
167	manni_03	manni_03_rise_3_6	16.6741	150.5559	394.4395	3.5741	185.0785	13.1	0.4354
167	manni_03	manni_03_rise_3_5	16.6741	150.5559	394.4395	3.4741	184.0125	13.2	0.4354
167	manni_03	manni_03_rise_3_4	16.6741	150.5559	394.4395	3.3741	182.9527	13.3	0.4354
167	manni_03	manni_03_rise_3_3	16.6741	150.5559	394.4395	3.2741	181.899	13.4	0.4354
167	manni_03	manni_03_rise_3_2	16.6741	150.5559	394.4395	3.1741	180.8513	13.5	0.4354
167	manni_03	manni_03_rise_3_1	16.6741	150.5559	394.4395	3.0741	179.8097	13.6	0.4354
167	manni_03	manni_03_rise_3_0	16.6741	150.5559	394.4395	2.9741	178.7741	13.7	0.4354
167	manni_03	manni_03_rise_2_9	16.6741	150.5559	394.4395	2.8741	177.7444	13.8	0.4354
167	manni_03	manni_03_rise_2_8	16.6741	150.5559	394.4395	2.7741	176.7207	13.9	0.4354
167	manni_03	manni_03_rise_2_7	16.6741	150.5559	394.4395	2.6741	175.7028	14	0.4354
167	manni_03	manni_03_rise_2_6	16.6741	150.5559	394.4395	2.5741	174.6909	14.1	0.4354
167	manni_03	manni_03_rise_2_5	16.6741	150.5559	394.4395	2.4741	173.6847	14.2	0.4354
167	manni_03	manni_03_rise_2_4	16.6741	150.5559	394.4395	2.3741	172.6844	14.3	0.4354
167	manni_03	manni_03_rise_2_3	16.6741	150.5559	394.4395	2.2741	171.6898	14.4	0.4354
167	manni_03	manni_03_rise_2_2	16.6741	150.5559	394.4395	2.1741	170.7009	14.5	0.4354
167	manni_03	manni_03_rise_2_1	16.6741	150.5559	394.4395	2.0741	169.7177	14.6	0.4354
167	manni_03	manni_03_rise_2_0	16.6741	150.5559	394.4395	1.9741	168.7402	14.7	0.4354
167	manni_03	manni_03_rise_1_9	16.6741	150.5559	394.4395	1.8741	167.7684	14.8	0.4354
167	manni_03	manni_03_rise_1_8	16.6741	150.5559	394.4395	1.7741	166.8021	14.9	0.4354
167	manni_03	manni_03_rise_1_7	16.6741	150.5559	394.4395	1.6741	165.8414	15	0.4354
167	manni_03	manni_03_rise_1_6	16.6741	150.5559	394.4395	1.5741	164.8862	15.1	0.4354
167	manni_03	manni_03_rise_1_5	16.6741	150.5559	394.4395	1.4741	163.9365	15.2	0.4354
167	manni_03	manni_03_rise_1_4	16.6741	150.5559	394.4395	1.3741	162.9923	15.3	0.4354
167	manni_03	manni_03_rise_1_3	16.6741	150.5559	394.4395	1.2741	162.0536	15.4	0.4354
167	manni_03	manni_03_rise_1_2	16.6741	150.5559	394.4395	1.1741	161.1202	15.5	0.4354
167	manni_03	manni_03_rise_1_1	16.6741	150.5559	394.4395	1.0741	160.1922	15.6	0.4354
167	manni_03	manni_03_rise_1_0	16.6741	150.5559	394.4395	0.9741	159.2696	15.7	0.4354
167	manni_03	manni_03_rise_0_9	16.6741	150.5559	394.4395	0.8741	158.3523	15.8	0.4354
167	manni_03	manni_03_rise_0_8	16.6741	150.5559	394.4395	0.7741	157.4402	15.9	0.4354
167	manni_03	manni_03_rise_0_7	16.6741	150.5559	394.4395	0.6741	156.5334	16	0.4354
167	manni_03	manni_03_rise_0_6	16.6741	150.5559	394.4395	0.5741	155.6319	16.1	0.4354
167	manni_03	manni_03_rise_0_5	16.6741	150.5559	394.4395	0.4741	154.7355	16.2	0.4354
167	manni_03	manni_03_rise_0_4	16.6741	150.5559	394.4395	0.3741	153.8443	16.3	0.4354
167	manni_03	manni_03_rise_0_3	16.6741	150.5559	394.4395	0.2741	152.9582	16.4	0.4354
167	manni_03	manni_03_rise_0_2	16.6741	150.5559	394.4395	0.1741	152.0772	16.5	0.4354
167	manni_03	manni_03_rise_0_1	16.6741	150.5559	394.4395	0.0741	151.2013	16.6	0.4354
